key,source_text,target_text
item.jetboots.armor_core,Armor Core,アーマーコア
item.jetboots.engine_upgrade,Engine Upgrade,エンジンアップグレード
item.jetboots.guardian_helmet,Guardian Helmet,ガーディアンヘルメット
item.jetboots.guardian_jacket,Guardian Jacket,ガーディアンジャケット
item.jetboots.guardian_pants,Guardian Pants,ガーディアンパンツ
item.jetboots.guardian_sword,The Godslayer,神殺し
item.jetboots.jetboots,Jet Boots,ジェットブーツ
item.jetboots.muffled_upgrade,Muffled Upgrade,消音アップグレード
item.jetboots.obsidian_infused_gold,Obsidian-Infused Gold,黒曜石注入ゴールド
item.jetboots.rocket_boots,Rocket Boots,ロケットブーツ
item.jetboots.shock_absorber_upgrade,Shock Absorber Upgrade,ショックアブソーバーアップグレード
item.jetboots.thruster_upgrade,Thruster Upgrade,推進力アップグレード
item.jetboots.underwater_upgrade,Underwater Upgrade,水中対応アップグレード
item.jetboots.wireless_crafting_upgrade_rs,Wireless crafting grid upgrade (RS),ワイヤレスクラフティンググリッドアップグレード (RS)
item.jetboots.wireless_range_upgrade_rs,Wireless grid range upgrade (RS),ワイヤレスグリッド範囲アップグレード (RS)
jetboots.key.category,Jet Boots,ジェットブーツ
jetboots.msg.dematerialized,Dematerialized,非物質化
jetboots.msg.helmet_mode,Guardian Helmet,ガーディアンヘルメット
jetboots.msg.helmet_night_vision,Night Vision,夜間視覚
jetboots.msg.materialized,Materialized,物質化
jetboots.msg.off,Off,オフ
jetboots.msg.on,On,オン
jetboots.msg.power_low,§cWARNING Jet boots power low!!§r,§c警告: ジェットブーツの電力が低下しています!!§r
jetboots.tab.jetboots,Jet Boots,ジェットブーツ
jetboots.tab.jetboots_compat,Jet Boots Extras,ジェットブーツエクストラ
jetboots.tooltip.item.change_flight_mode,Use %s to change flight mode,%sキーで飛行モードを変更
jetboots.tooltip.item.change_helmet_mode,Use %s to change helmet mode,%sキーでヘルメットモードを変更
jetboots.tooltip.item.change_helmet_night_vision,Use %s to toggle night vision,%sキーで暗視を切り替え
jetboots.tooltip.item.change_speed_mode,Use %s to change speed,%sキーで速度を変更
jetboots.tooltip.item.elytra,Elytra,エリトラ
jetboots.tooltip.item.energy_flying,§7Cost§r,§7消費電力§r
jetboots.tooltip.item.engine_upgrade,§7Upgraded engine§r,§7強化エンジン§r
jetboots.tooltip.item.engine_upgrade.info,§7Unlocks Elytra based flight§r,§7エリトラベースの飛行をアンロック§r
jetboots.tooltip.item.flight_mode,Flight mode,飛行モード
jetboots.tooltip.item.helmet_info,Protects against air loss and other ill effects when materialized,物質化時に呼吸困難や他の悪いステータス効果から保護します
jetboots.tooltip.item.jetboots_upgrade_screen,Jet Boots Upgrades,ジェットブーツアップグレード
jetboots.tooltip.item.muffled_upgrade,§7Muffled§r,§7消音§r
jetboots.tooltip.item.muffled_upgrade.info,§7Makes the jet boots silent§r,§7ジェットブーツを無音にします§r
jetboots.tooltip.item.normal,Normal,通常
jetboots.tooltip.item.open_upgrades,Sneak + Right click to apply enchantments,シフトキー + 右クリックでエンチャントを適用
jetboots.tooltip.item.refinedstorage_network_linked,Helmet linked to network!,ヘルメットがネットワークにリンク済み!
jetboots.tooltip.item.refinedstorage_not_linked,"Not linked to a network!
Right click the helmet on a network","ネットワークにリンクしていません!
ヘルメットでネットワークに右クリック"
jetboots.tooltip.item.refinedstorage_use_wireless_crafting,§7Use %s to access RS network§r,§7%sキーでRSネットワークにアクセス§r
jetboots.tooltip.item.refinedstorage_wireless_crafting_upgrade,§7Wireless Transmitter (RS)§r,§7ワイヤレストランスミッター (RS)§r
jetboots.tooltip.item.refinedstorage_wireless_crafting_upgrade_info,"§7Upgrades the helmet to access the RS network
Right click the helmet on a network to link it§r","§7ヘルメットをRSネットワークにアクセスするようにアップグレード
ヘルメットでネットワークに右クリックしてリンク§r"
jetboots.tooltip.item.refinedstorage_wireless_crafting_upgrade_not_installed,Wireless crafting grid upgrade not installed!,ワイヤレスクラフティンググリッドアップグレードがインストールされていません!
jetboots.tooltip.item.refinedstorage_wireless_range_upgrade,§7Wireless Range %s (RS)§r,§7ワイヤレス範囲 %s (RS)§r
jetboots.tooltip.item.refinedstorage_wireless_range_upgrade_info,"§7Upgrades the helmet range to the RS network
Can be applied maximum 4 times§r","§7ヘルメット範囲をRSネットワークにアップグレード
最大4回まで適用可能§r"
jetboots.tooltip.item.shock_absorber_upgrade,§7Shock absorber§r,§7ショックアブソーバー§r
jetboots.tooltip.item.shock_absorber_upgrade.info,§7Removes fall damage while wearing jet or rocket boots§r,§7ジェットまたはロケットブーツ装備時の落下ダメージを除去§r
jetboots.tooltip.item.show_upgrades,Hold %s to show more info,%sキーで詳細情報を表示
jetboots.tooltip.item.soulbound,Soulbound,魂に結合
jetboots.tooltip.item.speed_mode,Speed,速度
jetboots.tooltip.item.stored_energy,Energy: %d/%d,エネルギー: %d/%d
jetboots.tooltip.item.super,Super,スーパー
jetboots.tooltip.item.thruster_upgrade,§7Upgraded thruster§r,§7強化スラスター§r
jetboots.tooltip.item.thruster_upgrade.info,§7Unlocks super speed toggle§r,§7スーパースピード切り替えをアンロック§r
jetboots.tooltip.item.turn_off,Use %s to toggle rocket boots on/off,%sキーでロケットブーツのオン/オフを切り替え
jetboots.tooltip.item.underwater_upgrade,§bWater proof§r,§b防水§r
jetboots.tooltip.item.underwater_upgrade.info,§7Makes the jet boots work under water§r,§7ジェットブーツを水中で動作可能にします§r
jetboots.tooltip.template.additions_slot_description,§9Upgrade or Obsidian§r,アップグレードまたは黒曜石§r
jetboots.tooltip.template.additions_slot_info,Add upgrade or Obsidian,アップグレードまたは黒曜石を追加
jetboots.tooltip.template.description,§7Jet Boots Upgrades / Crafting§r,§7ジェットブーツアップグレード/クラフト§r
jetboots.tooltip.template.slot_description,§9Upgradable item or Gold Ingot§r,アップグレード可能アイテムまたはゴールドインゴット§r
jetboots.tooltip.template.slot_info,Add upgradable item or Gold Ingot,アップグレード可能アイテムまたはゴールドインゴットを追加
key.jetboots.engine,Toggle Jet boots engine mode,ジェットブーツエンジンモードを切り替え
key.jetboots.helmet,Toggle Guardian Helmet mode,ガーディアンヘルメットモードを切り替え
key.jetboots.helmet_vision,Toggle Guardian Helmet night vision,ガーディアンヘルメット暗視を切り替え
key.jetboots.open_crafting_grid,Open Refined Storage crafting grid,Refined Storageクラフティンググリッドを開く
key.jetboots.speed,Toggle Jet boots speed mode,ジェットブーツ速度モードを切り替え
key.rocketboots.engine,Toggle Rocket boots engine on/off,ロケットブーツエンジンのオン/オフを切り替え
